City,Year,Month,Day,pm25
KENNER,2011,3,24,87
KENNER,2011,3,25,116
KENNER,2011,3,26,73
KENNER,2011,3,27,85
KENNER,2011,3,28,135
KENNER,2011,3,29,114
KENNER,2011,3,30,47
KENNER,2011,3,31,109
KENNER,2011,4,1,147
KENNER,2011,4,2,131
KENNER,2011,4,3,70
KENNER,2011,4,4,95
KENNER,2011,4,5,47
KENNER,2011,4,6,72
KENNER,2011,4,7,83
KENNER,2011,4,8,115
KENNER,2011,4,9,84
KENNER,2011,4,10,71
KENNER,2011,4,11,100
KENNER,2011,4,12,64
KENNER,2011,4,13,85
KENNER,2011,4,14,95
KENNER,2011,4,15,151
KENNER,2011,4,16,82
KENNER,2011,4,17,58
KENNER,2011,4,18,84
KENNER,2011,4,19,120
KENNER,2011,4,20,117
KENNER,2011,4,21,73
KENNER,2011,4,22,59
KENNER,2011,4,23,60
KENNER,2011,4,24,75
KENNER,2011,4,25,83
KENNER,2011,4,26,81
KENNER,2011,4,27,164
KENNER,2011,4,28,44
KENNER,2011,4,29,56
KENNER,2011,4,30,58
KENNER,2011,5,1,93
KENNER,2011,5,2,89
KENNER,2011,5,3,35
KENNER,2011,5,4,53
KENNER,2011,5,5,74
KENNER,2011,5,6,125
KENNER,2011,5,7,142
KENNER,2011,5,8,50
KENNER,2011,5,9,107
KENNER,2011,5,10,75
KENNER,2011,5,11,83
KENNER,2011,5,12,115
KENNER,2011,5,13,97
KENNER,2011,5,14,55
KENNER,2011,5,15,43
KENNER,2011,5,16,48
KENNER,2011,5,17,69
KENNER,2011,5,18,97
KENNER,2011,5,19,74
KENNER,2011,5,20,130
KENNER,2011,5,21,146
KENNER,2011,5,22,96
KENNER,2011,5,23,105
KENNER,2011,5,24,62
KENNER,2011,5,25,59
KENNER,2011,5,26,108
KENNER,2011,5,27,116
KENNER,2011,5,28,94
KENNER,2011,5,29,93
KENNER,2011,5,30,90
KENNER,2011,5,31,76
KENNER,2011,6,1,149
KENNER,2011,6,2,199
KENNER,2011,6,3,95
KENNER,2011,6,4,169
KENNER,2011,6,5,268
KENNER,2011,6,6,240
KENNER,2011,6,7,191
KENNER,2011,6,8,147
KENNER,2011,6,9,141
KENNER,2011,6,10,176
KENNER,2011,6,11,196
KENNER,2011,6,12,196
KENNER,2011,6,13,158
KENNER,2011,6,14,123
KENNER,2011,6,15,71
KENNER,2011,6,16,80
KENNER,2011,6,17,86
KENNER,2011,6,18,87
KENNER,2011,6,19,78
KENNER,2011,6,20,68
KENNER,2011,6,21,56
KENNER,2011,6,22,56
KENNER,2011,6,23,48
KENNER,2011,6,24,35
KENNER,2011,6,25,53
KENNER,2011,6,26,73
KENNER,2011,6,27,85
KENNER,2011,6,28,82
KENNER,2011,6,29,87
KENNER,2011,6,30,120
KENNER,2011,7,1,108
KENNER,2011,7,2,133
KENNER,2011,7,3,152
KENNER,2011,7,4,199
KENNER,2011,7,5,130
KENNER,2011,7,6,117
KENNER,2011,7,7,128
KENNER,2011,7,8,77
KENNER,2011,7,9,66
KENNER,2011,7,10,88
KENNER,2011,7,11,78
KENNER,2011,7,12,93
KENNER,2011,7,13,51
KENNER,2011,7,14,114
KENNER,2011,7,15,74
KENNER,2011,7,16,83
KENNER,2011,7,17,94
KENNER,2011,7,18,68
KENNER,2011,7,19,57
KENNER,2011,7,20,56
KENNER,2011,7,21,62
KENNER,2011,7,22,61
KENNER,2011,7,23,50
KENNER,2011,7,24,42
KENNER,2011,7,25,59
KENNER,2011,7,26,62
KENNER,2011,7,27,60
KENNER,2011,7,28,48
KENNER,2011,7,29,50
KENNER,2011,7,30,59
KENNER,2011,7,31,54
KENNER,2011,8,1,90
KENNER,2011,8,2,130
KENNER,2011,8,3,102
KENNER,2011,8,4,10
KENNER,2011,8,5,95
KENNER,2011,8,6,147
KENNER,2011,8,7,112
KENNER,2011,8,8,52
KENNER,2011,8,9,84
KENNER,2011,8,10,104
KENNER,2011,8,11,98
KENNER,2011,8,12,95
KENNER,2011,8,13,86
KENNER,2011,8,14,81
KENNER,2011,8,15,71
KENNER,2011,8,16,121
KENNER,2011,8,17,132
KENNER,2011,8,18,168
KENNER,2011,8,19,163
KENNER,2011,8,20,123
KENNER,2011,8,21,110
KENNER,2011,8,22,137
KENNER,2011,8,23,142
KENNER,2011,8,24,54
KENNER,2011,8,25,175
KENNER,2011,8,26,204
KENNER,2011,8,27,149
KENNER,2011,8,28,132
KENNER,2011,8,29,272
KENNER,2011,8,30,275
KENNER,2011,8,31,222
KENNER,2011,9,1,48
KENNER,2011,9,2,58
KENNER,2011,9,3,23
KENNER,2011,9,4,31
KENNER,2011,9,5,52
KENNER,2011,9,6,74
KENNER,2011,9,7,76
KENNER,2011,9,8,121
KENNER,2011,9,9,147
KENNER,2011,9,10,222
KENNER,2011,9,11,250
KENNER,2011,9,12,178
KENNER,2011,9,13,148
KENNER,2011,9,14,120
KENNER,2011,9,15,155
KENNER,2011,9,16,150
KENNER,2011,9,17,145
KENNER,2011,9,18,120
KENNER,2011,9,19,100
KENNER,2011,9,20,90
KENNER,2011,9,21,46
KENNER,2011,9,22,80
KENNER,2011,9,23,162
KENNER,2011,9,24,50
KENNER,2011,9,25,141
KENNER,2011,9,26,50
KENNER,2011,9,27,62
KENNER,2011,9,28,84
KENNER,2011,9,29,97
KENNER,2011,9,30,91
KENNER,2011,10,1,49
KENNER,2011,10,2,54
KENNER,2011,10,3,70
KENNER,2011,10,4,114
KENNER,2011,10,5,137
KENNER,2011,10,6,107
KENNER,2011,10,7,88
KENNER,2011,10,8,96
KENNER,2011,10,9,69
KENNER,2011,10,10,67
KENNER,2011,10,11,66
KENNER,2011,10,12,123
KENNER,2011,10,13,95
KENNER,2011,10,14,72
KENNER,2011,10,15,109
KENNER,2011,10,16,99
