Year,Parish,Rate,Count,Population
2019,Tangipahoa,55.3,90,134845
2019,Tensas,65.2,94.5,4319
2019,Terrebonne,75.1,99,110615
2019,Union,75.9,27,22068
2019,Vermilion,69.8,50,59573
2019,Vernon,100,45,48394
2019,Washington,100.2,66,46158
2019,Webster,64.6,39,38323
2019,West baton rouge,82.5,23,26550
2019,West carroll,62.1,54,10906
2019,West feliciana,62.1,54,15570
2019,Winn,62.1,54,13961
2020,Acadia,73.4,59,61918
2020,Allen,66.5,20,25440
2020,Ascension,56,72,128665
2020,Assumption,57.3,19,21621
2020,Avoyelles,59.4,32,39966
2020,Beauregard,67.2,33,37881
2020,Bienville,63.1,61,12983
2020,Bossier,59,89,127275
2020,Caddo,48.7,158,237479
2020,Calcasieu,55.8,141,203310
2020,Caldwell,62.1,54,9839
2020,Cameron,62.1,54,7003
2020,Catahoula,62.1,54,9226
2020,Claiborne,62.1,54,15508
2020,Concordia,62.1,54,18914
2020,De soto,62.1,25,27650
2020,Eastbatonrouge,46.2,243,439729
2020,East carroll,58.4,133,6589
2020,East feliciana,70.6,23,18882
2020,Evangeline,82.2,35,33276
2020,Franklin,74.5,20,19723
2020,Grant,66.65,36.5,22254
2020,Iberia,58.8,53,68991
2020,Iberville,70.8,31,32070
2020,Jackson,62.05,173,15574
2020,Jefferson,53.3,315,432346
2020,Jefferson davis,54.7,24,31208
2020,Lafayette,53.5,152,246518
2020,Lafourche,45.8,59,97596
2020,Laqsalle,43.2,40,15021
2020,Lincoln,40.6,21,46552
2020,Livingston,66.4,110,143737
2020,Madison,60.25,66.5,10635
2020,Morehouse,54.1,23,24227
2020,Natchitoches,49.7,25,37655
2020,Orleans,39.5,204,389476
2020,Ouachita,43.3,83,152439
2020,Plaquemines,47.8,50.5,23113
2020,Pointe coupee,52.3,18,21529
2020,Rapides,55.5,98,128567
2020,Red river,57.8,57.5,8286
2020,Richland,60.1,17,20014
2020,Sabine,44,18,23803
2020,St bernard,56,28,47647
2020,St charles,35.8,21,52987
2020,St helena,52.2,21.5,10081
2020,St james,68.6,22,20727
2020,St john the baptist,34.7,19,42516
2020,St landry,64.8,71,81440
2020,St martin,52.9,39,52954
2020,St mary,53.1,38,48330
2020,St tammany,56.4,204,263446
2020,Tangipahoa,45.7,77,136765
2020,Tensas,57.3,85.5,4178
2020,Terrebonne,68.9,94,109859
2020,Union,47.8,18,22170
2020,Vermilion,51.3,40,59378
2020,Vernon,80.4,38,47894
2020,Washington,63.5,41,45773
2020,Webster,61.9,36,37943
2020,West baton rouge,90.1,29,26792
2020,West carroll,62.1,54,10646
2020,West feliciana,62.1,54,15465
2020,Winn,62.1,54,13839
